postcode,state,region,area_type,sales_channel,customer_type,customer_segment,product_category,marketing_channel,device_type,fulfilment_type,discount_code_used,orders_2025,orders_2026,customers_2025,customers_2026,units_sold_2025,units_sold_2026,gross_sales_2025,gross_sales_2026,discounts_2025,discounts_2026,refunds_2025,refunds_2026,net_sales_2025,net_sales_2026,average_order_value_2025,average_order_value_2026,conversion_rate_2025,conversion_rate_2026,return_rate_2025,return_rate_2026,repeat_customer_rate_2025,repeat_customer_rate_2026
0839,NT,Darwin,Metro,Shop App,Returning,Active,Apparel,Email / SMS,Mobile,Click & Collect,No,1,1,1,1,2,2,176.05,242.57,10.94,10.64,15.11,16.75,150.0,215.18,150.0,215.18,3.65%,4.07%,11.21%,8.99%,68.07%,68.39%
0846,NT,Darwin,Metro,Online Store,Returning,Reactivated,Apparel,Organic Search,Mobile,Standard Shipping,No,4,4,3,3,7,7,704.8,752.43,94.09,105.22,41.75,33.52,568.96,613.69,142.24,153.42,3.47%,3.89%,7.90%,8.00%,70.93%,68.16%
0846,NT,Darwin,Metro,Retail POS,Returning,At risk,Accessories,Direct,Mobile,Express Shipping,No,20,21,16,19,33,37,2584.16,2817.14,264.5,353.41,127.84,107.2,2191.82,2356.53,109.59,112.22,2.47%,2.81%,7.65%,5.90%,64.64%,65.91%
0846,NT,Darwin,Metro,Marketplace,Returning,Active,Footwear,Email / SMS,Mobile,Click & Collect,No,3,3,3,2,3,3,936.62,954.28,121.83,118.17,63.08,41.98,751.71,794.13,250.57,264.71,5.86%,5.83%,8.87%,7.90%,72.04%,69.09%
0846,NT,Darwin,Metro,Social Commerce,Returning,At risk,Home & Lifestyle,Email / SMS,Mobile,Standard Shipping,No,9,12,7,10,12,18,2130.27,2978.81,203.83,244.32,111.19,158.41,1815.25,2576.08,201.69,214.67,4.54%,4.69%,9.24%,6.97%,63.65%,71.61%
0852,NT,Darwin,Metro,Marketplace,New,High value,Apparel,Paid Social,Mobile,Standard Shipping,Yes,29,32,23,26,43,49,5593.32,6198.88,703.23,877.84,683.39,625.5,4206.69,4695.53,145.06,146.74,3.27%,3.31%,15.00%,14.06%,12.23%,16.70%
0852,NT,Darwin,Metro,Online Store,New,High value,Beauty & Personal Care,Organic Search,Mobile,Express Shipping,Yes,31,34,25,26,60,67,2635.14,3156.37,492.12,647.33,62.21,90.03,2080.82,2419.01,67.12,71.15,3.99%,4.14%,3.54%,4.89%,12.02%,16.96%
0852,NT,Darwin,Metro,Retail POS,Returning,New customer,Home & Lifestyle,Paid Search,Mobile,Standard Shipping,No,10,12,7,11,12,15,2249.95,2832.22,301.91,444.69,114.48,74.09,1833.56,2313.43,183.36,192.79,4.00%,4.11%,7.04%,4.59%,54.79%,57.20%
0852,NT,Darwin,Metro,Online Store,New,At risk,Footwear,Paid Social,Desktop,Standard Shipping,Yes,15,16,13,12,17,18,3892.0,4600.88,593.14,802.38,432.6,522.67,2866.26,3275.83,191.08,204.74,1.92%,2.15%,13.09%,13.69%,13.43%,19.10%
0853,NT,Darwin,Metro,Shop App,Returning,New customer,Apparel,Direct,Mobile,Express Shipping,No,6,8,4,6,9,13,1346.51,1741.85,51.03,48.19,180.44,161.47,1115.04,1532.19,185.84,191.52,3.67%,3.86%,16.25%,16.60%,69.01%,76.61%
0853,NT,Darwin,Metro,Shop App,Returning,Active,Accessories,Paid Social,Mobile,Express Shipping,No,12,17,10,12,23,33,1232.53,1842.62,115.83,208.52,29.5,41.06,1087.2,1593.05,90.6,93.71,5.46%,5.39%,4.20%,3.32%,77.25%,77.57%
0853,NT,Darwin,Metro,Social Commerce,Returning,At risk,Beauty & Personal Care,Organic Search,Mobile,Standard Shipping,No,12,16,8,13,26,36,1155.48,1601.0,157.98,244.61,15.98,27.72,981.52,1328.67,81.79,83.04,4.65%,5.22%,1.73%,2.88%,51.61%,58.97%
0853,NT,Darwin,Metro,Online Store,New,Active,Apparel,Direct,Desktop,Standard Shipping,Yes,15,18,13,12,25,31,3073.61,3780.85,521.62,573.23,188.41,197.27,2363.58,3010.35,157.57,167.24,2.88%,2.89%,9.44%,8.09%,10.29%,12.97%
0854,NT,Darwin,Metro,Online Store,Returning,High value,Footwear,Paid Social,Mobile,Standard Shipping,Yes,22,23,18,16,24,27,8553.61,8757.01,1698.46,1548.64,707.04,521.34,6148.12,6687.03,279.46,290.74,2.59%,2.63%,10.34%,9.14%,65.61%,65.27%
0854,NT,Darwin,Metro,Shop App,New,New customer,Accessories,Paid Search,Desktop,Standard Shipping,No,22,28,20,23,36,46,2037.94,2768.66,164.2,191.81,93.5,151.64,1780.24,2425.21,80.92,86.61,2.30%,2.51%,7.92%,8.07%,14.66%,14.34%
0854,NT,Darwin,Metro,Social Commerce,Returning,High value,Apparel,Email / SMS,Desktop,Express Shipping,No,22,26,19,19,32,40,4940.31,6027.31,381.3,334.34,457.21,566.43,4101.81,5126.54,186.45,197.17,2.97%,2.97%,11.57%,11.45%,73.18%,80.45%
0854,NT,Darwin,Metro,Online Store,Returning,High value,Beauty & Personal Care,Paid Social,Desktop,Standard Shipping,Yes,37,41,33,33,75,86,3260.66,3970.61,440.73,619.74,79.18,93.56,2740.75,3257.3,74.07,79.45,3.22%,3.78%,3.72%,3.45%,52.28%,54.42%
2000,NSW,Sydney,Metro,Online Store,Returning,New customer,Beauty & Personal Care,Paid Search,Mobile,Express Shipping,Yes,111,127,82,111,211,241,11386.14,13604.84,1617.26,2098.08,190.64,164.14,9578.24,11342.62,86.29,89.31,4.15%,4.55%,2.72%,1.54%,59.66%,58.74%
2000,NSW,Sydney,Metro,Shop App,Returning,Active,Apparel,Paid Search,Mobile,Express Shipping,Yes,51,62,43,49,84,105,11795.15,15912.74,2356.5,3438.26,1380.39,2292.15,8058.26,10182.33,158.01,164.23,4.49%,5.02%,16.66%,17.43%,50.64%,47.80%
2000,NSW,Sydney,Metro,Online Store,New,High value,Home & Lifestyle,Direct,Mobile,Standard Shipping,Yes,26,31,21,28,36,42,5311.51,6523.37,1232.11,1621.76,306.34,328.92,3773.06,4572.69,145.12,147.51,3.13%,3.19%,9.25%,7.32%,20.61%,24.90%
2000,NSW,Sydney,Metro,Retail POS,New,Active,Accessories,Paid Social,Mobile,Express Shipping,Yes,60,61,48,44,107,111,5948.76,6686.9,648.9,854.91,189.43,148.82,5110.44,5683.17,85.17,93.17,3.25%,3.63%,4.29%,3.63%,14.54%,15.15%
2007,NSW,Sydney,Metro,Shop App,New,Active,Apparel,Direct,Mobile,Standard Shipping,Yes,6,7,5,6,10,12,951.45,1256.45,123.57,168.16,78.11,109.6,749.77,978.68,124.96,139.81,2.89%,3.17%,13.42%,14.53%,19.79%,24.99%
2007,NSW,Sydney,Metro,Shop App,Returning,New customer,Apparel,Paid Search,Mobile,Express Shipping,Yes,2,3,2,2,3,4,505.45,646.11,93.54,108.9,45.46,67.97,366.44,469.25,183.22,156.42,5.47%,5.48%,14.61%,13.74%,62.78%,69.48%
2007,NSW,Sydney,Metro,Social Commerce,Returning,Reactivated,Footwear,Paid Social,Mobile,Standard Shipping,Yes,9,10,6,8,10,11,2626.5,3028.25,376.17,449.38,219.18,311.67,2031.15,2267.21,225.68,226.72,1.87%,1.99%,15.03%,13.85%,72.33%,74.45%
2007,NSW,Sydney,Metro,Social Commerce,Returning,Active,Accessories,Email / SMS,Mobile,Express Shipping,No,36,44,31,32,66,80,4134.61,5338.16,184.56,146.85,167.42,300.76,3782.64,4890.55,105.07,111.15,4.82%,4.56%,5.61%,6.73%,52.41%,59.50%
2008,NSW,Sydney,Metro,Shop App,New,New customer,Beauty & Personal Care,Paid Social,Mobile,Standard Shipping,No,22,27,17,20,43,54,1707.69,2112.18,130.2,120.55,22.66,7.5,1554.83,1984.12,70.67,73.49,3.82%,3.86%,1.92%,0.50%,11.02%,12.71%
2008,NSW,Sydney,Metro,Online Store,Returning,High value,Accessories,Paid Search,Mobile,Standard Shipping,No,49,57,35,40,84,96,5570.8,6830.11,829.21,1143.92,269.24,420.68,4472.35,5265.51,91.27,92.38,3.02%,3.35%,5.78%,7.51%,65.96%,68.53%
2008,NSW,Sydney,Metro,Shop App,New,Active,Footwear,Paid Social,Mobile,Standard Shipping,No,15,17,13,14,16,19,3332.88,3842.83,263.95,300.58,167.49,196.97,2901.43,3345.28,193.43,196.78,3.55%,3.94%,8.16%,6.68%,16.07%,15.37%
2008,NSW,Sydney,Metro,Retail POS,New,At risk,Home & Lifestyle,Organic Search,Mobile,Standard Shipping,Yes,7,9,6,7,10,12,1337.44,1672.7,244.03,296.25,33.01,51.59,1060.39,1324.86,151.48,147.21,1.82%,2.08%,3.80%,3.72%,10.69%,17.69%
2009,NSW,Sydney,Metro,Social Commerce,Returning,New customer,Beauty & Personal Care,Paid Search,Desktop,Standard Shipping,No,25,31,17,25,47,60,2776.64,3702.96,392.4,477.89,79.01,124.69,2305.23,3100.38,92.21,100.01,3.50%,3.52%,4.51%,4.10%,67.18%,65.63%
2009,NSW,Sydney,Metro,Retail POS,Returning,Active,Footwear,Organic Search,Mobile,Standard Shipping,Yes,23,21,16,18,24,22,8512.57,8325.71,1136.46,1061.32,995.74,1119.01,6380.37,6145.39,277.41,292.64,4.73%,4.83%,18.03%,16.15%,65.12%,63.20%
2009,NSW,Sydney,Metro,Online Store,New,New customer,Accessories,Direct,Mobile,Standard Shipping,Yes,3,3,3,3,5,6,346.98,400.56,56.36,63.19,10.91,13.95,279.71,323.43,93.24,107.81,4.59%,4.71%,4.76%,5.43%,9.67%,11.56%
2009,NSW,Sydney,Metro,Online Store,New,New customer,Beauty & Personal Care,Organic Search,Desktop,Express Shipping,No,34,38,31,32,70,81,2847.33,3128.58,343.18,332.69,107.46,50.74,2396.69,2745.15,70.49,72.24,2.95%,3.21%,4.51%,2.78%,20.12%,19.57%
2010,NSW,Sydney,Metro,Online Store,Returning,Reactivated,Footwear,Paid Search,Mobile,Standard Shipping,No,5,6,4,5,6,7,1585.7,2184.29,138.32,222.6,157.54,296.34,1289.85,1665.35,257.97,277.56,4.32%,4.22%,16.56%,17.36%,74.00%,71.03%
2010,NSW,Sydney,Metro,Online Store,Returning,Reactivated,Apparel,Referral / Affiliate,Mobile,Standard Shipping,No,40,41,36,30,66,73,7377.56,7655.59,842.28,720.17,337.05,481.84,6198.23,6453.58,154.96,157.4,3.93%,3.79%,8.17%,9.62%,76.14%,74.56%
2010,NSW,Sydney,Metro,Marketplace,Returning,Active,Footwear,Direct,Desktop,Standard Shipping,No,25,24,19,18,30,30,5957.95,6200.47,653.93,736.69,666.2,646.46,4637.82,4817.33,185.51,200.72,1.80%,1.93%,13.45%,13.69%,67.03%,67.25%
2010,NSW,Sydney,Metro,Online Store,New,Active,Footwear,Paid Social,Desktop,Click & Collect,No,52,58,44,43,61,69,15140.34,17475.0,557.2,347.63,1700.04,1467.56,12883.1,15659.82,247.75,270.0,3.36%,3.40%,15.00%,14.85%,5.47%,7.50%
2011,NSW,Sydney,Metro,Online Store,Returning,New customer,Footwear,Direct,Mobile,Standard Shipping,No,5,5,4,4,6,6,1484.32,1607.88,214.9,196.58,124.05,149.3,1145.37,1262.0,229.07,252.4,3.18%,3.60%,12.36%,13.00%,48.91%,48.71%
2011,NSW,Sydney,Metro,Online Store,Returning,New customer,Beauty & Personal Care,Organic Search,Desktop,Standard Shipping,Yes,40,44,30,35,81,92,4488.32,5166.66,465.12,575.56,113.0,93.42,3910.19,4497.68,97.75,102.22,4.27%,4.45%,3.37%,2.38%,67.03%,70.07%
2011,NSW,Sydney,Metro,Online Store,Returning,Active,Home & Lifestyle,Email / SMS,Mobile,Standard Shipping,Yes,8,10,7,8,11,14,1549.91,2067.75,150.25,222.79,82.66,118.32,1317.0,1726.64,164.63,172.66,3.56%,4.02%,8.22%,9.14%,77.00%,83.32%
2011,NSW,Sydney,Metro,Retail POS,Returning,New customer,Beauty & Personal Care,Direct,Mobile,Standard Shipping,Yes,150,183,136,162,302,365,13649.82,18162.4,2261.54,3322.48,345.84,743.48,11042.44,14096.43,73.62,77.03,3.04%,2.87%,3.62%,5.00%,63.36%,68.82%
2015,NSW,Sydney,Metro,Online Store,New,Active,Footwear,Organic Search,Desktop,Standard Shipping,Yes,8,8,6,6,8,8,3341.03,3567.58,689.77,714.39,445.22,477.82,2206.04,2375.38,275.76,296.92,4.54%,5.02%,19.00%,17.94%,17.94%,19.48%
2015,NSW,Sydney,Metro,Marketplace,Returning,At risk,Footwear,Organic Search,Mobile,Click & Collect,No,16,18,14,13,18,22,5056.02,6150.48,607.19,672.59,734.06,954.0,3714.77,4523.89,232.17,251.33,5.22%,5.74%,18.73%,19.06%,55.28%,53.70%
2015,NSW,Sydney,Metro,Retail POS,New,Active,Footwear,Paid Search,Desktop,Standard Shipping,No,8,8,6,6,8,8,1677.01,1608.44,89.77,56.31,173.75,154.26,1413.48,1397.88,176.69,174.74,3.21%,3.42%,15.52%,16.82%,6.93%,13.24%
2015,NSW,Sydney,Metro,Marketplace,New,High value,Apparel,Paid Search,Mobile,Standard Shipping,No,20,20,17,16,28,29,3423.51,3631.44,441.26,400.94,196.55,207.41,2785.7,3023.09,139.29,151.15,1.71%,1.97%,7.16%,7.87%,17.76%,19.30%
2016,NSW,Sydney,Metro,Marketplace,New,Reactivated,Home & Lifestyle,Paid Social,Mobile,Standard Shipping,No,24,28,17,21,29,35,4939.8,5924.12,320.56,523.73,227.67,215.98,4391.57,5184.42,182.98,185.16,3.22%,3.14%,7.61%,5.42%,17.39%,18.19%
2016,NSW,Sydney,Metro,Marketplace,Returning,Active,Accessories,Paid Search,Mobile,Standard Shipping,Yes,46,51,42,38,78,93,5577.92,6037.48,604.5,515.55,149.72,55.26,4823.7,5466.67,104.86,107.19,2.03%,2.32%,3.38%,1.36%,74.54%,74.97%
2016,NSW,Sydney,Metro,Social Commerce,Returning,High value,Home & Lifestyle,Paid Search,Tablet,Standard Shipping,No,7,9,5,8,9,12,1717.87,2260.28,178.18,231.56,90.5,58.26,1449.19,1970.46,207.03,218.94,3.24%,3.46%,6.49%,4.16%,53.55%,56.37%
2016,NSW,Sydney,Metro,Online Store,New,High value,Accessories,Paid Social,Desktop,Click & Collect,No,15,16,11,14,27,31,1557.04,1780.83,179.14,208.25,45.37,61.89,1332.53,1510.69,88.84,94.42,3.98%,4.27%,3.84%,4.69%,11.66%,16.46%
2017,NSW,Sydney,Metro,Marketplace,New,Active,Beauty & Personal Care,Direct,Mobile,Standard Shipping,No,106,120,74,88,200,228,10809.74,13079.74,1468.05,1870.06,98.18,49.07,9243.51,11160.6,87.2,93.0,1.81%,1.72%,1.56%,0.50%,20.43%,23.41%
2017,NSW,Sydney,Metro,Shop App,New,High value,Accessories,Paid Social,Mobile,Express Shipping,No,88,117,72,94,162,221,8939.43,12377.87,1064.48,1222.67,152.5,312.66,7722.45,10842.54,87.76,92.67,4.59%,4.36%,3.08%,3.42%,11.13%,11.13%
2017,NSW,Sydney,Metro,Retail POS,New,High value,Footwear,Organic Search,Mobile,Express Shipping,Yes,13,15,11,10,14,17,4811.83,5603.17,941.05,1086.91,506.27,516.77,3364.51,3999.49,258.81,266.63,2.40%,2.31%,13.14%,11.97%,16.43%,17.71%
2017,NSW,Sydney,Metro,Online Store,New,Reactivated,Beauty & Personal Care,Email / SMS,Desktop,Standard Shipping,Yes,72,91,63,72,160,217,8073.45,11052.64,1622.28,2222.35,75.64,164.01,6375.53,8666.28,88.55,95.23,3.08%,3.15%,1.17%,2.37%,16.40%,21.16%
2018,NSW,Sydney,Metro,Online Store,Returning,Active,Footwear,Organic Search,Mobile,Standard Shipping,No,1,1,1,1,1,1,518.42,674.18,77.65,117.5,46.88,58.1,393.89,498.58,393.89,498.58,4.03%,4.00%,14.47%,14.64%,69.01%,67.99%
2018,NSW,Sydney,Metro,Online Store,Returning,At risk,Apparel,Organic Search,Mobile,Standard Shipping,No,50,51,42,39,76,77,7875.03,8446.97,990.25,1059.62,380.11,440.85,6504.66,6946.51,130.09,136.21,4.47%,4.42%,7.33%,8.54%,64.85%,72.85%
2018,NSW,Sydney,Metro,Retail POS,New,Active,Accessories,Paid Search,Mobile,Standard Shipping,Yes,13,13,11,11,25,25,1570.82,1616.93,166.63,161.58,62.91,45.64,1341.28,1409.7,103.18,108.44,1.57%,1.73%,4.80%,4.42%,11.25%,13.98%
2018,NSW,Sydney,Metro,Online Store,Returning,New customer,Home & Lifestyle,Email / SMS,Mobile,Standard Shipping,Yes,45,54,40,40,61,78,11100.03,13984.53,1488.32,1533.36,611.55,715.37,9000.17,11735.8,200.0,217.33,4.95%,5.02%,8.67%,6.53%,74.89%,82.02%
2019,NSW,Sydney,Metro,Online Store,New,Reactivated,Home & Lifestyle,Direct,Mobile,Express Shipping,No,20,23,16,17,28,35,3834.72,4722.16,368.65,566.89,109.34,151.73,3356.73,4003.54,167.84,174.07,2.06%,2.39%,3.76%,5.32%,16.33%,22.22%
2019,NSW,Sydney,Metro,Online Store,Returning,High value,Footwear,Paid Search,Desktop,Click & Collect,Yes,5,5,4,4,5,5,1833.98,1893.4,431.84,487.72,166.33,169.96,1235.81,1235.72,247.16,247.14,3.78%,4.21%,12.67%,13.87%,75.63%,76.28%
2019,NSW,Sydney,Metro,Online Store,Returning,Active,Apparel,Paid Search,Mobile,Express Shipping,Yes,5,6,4,4,7,9,1185.34,1489.55,157.76,230.31,101.25,115.42,926.33,1143.82,185.27,190.64,5.38%,5.08%,11.57%,12.02%,53.68%,53.33%
2019,NSW,Sydney,Metro,Shop App,Returning,High value,Beauty & Personal Care,Email / SMS,Mobile,Express Shipping,No,76,104,57,83,167,227,6414.58,9127.78,889.26,1349.25,120.18,37.2,5405.13,7741.34,71.12,74.44,4.42%,4.69%,2.33%,0.50%,77.95%,77.57%
2020,NSW,Sydney,Metro,Online Store,Returning,Active,Beauty & Personal Care,Organic Search,Desktop,Express Shipping,Yes,139,179,104,145,268,348,14622.96,19731.52,1938.52,2561.39,162.81,130.87,12521.64,17039.25,90.08,95.19,5.55%,6.52%,1.48%,1.15%,54.55%,53.20%
2020,NSW,Sydney,Metro,Online Store,New,At risk,Home & Lifestyle,Paid Social,Mobile,Standard Shipping,Yes,16,20,11,15,19,24,3376.25,4067.63,353.55,388.83,211.33,177.7,2811.37,3501.1,175.71,175.06,1.52%,1.55%,7.43%,5.68%,13.68%,13.09%
2020,NSW,Sydney,Metro,Online Store,Returning,Active,Home & Lifestyle,Referral / Affiliate,Desktop,Standard Shipping,Yes,57,68,51,49,82,100,14087.57,17660.41,1248.43,1371.75,482.08,779.53,12357.06,15509.12,216.79,228.08,3.09%,3.06%,4.65%,6.31%,50.20%,52.11%
2020,NSW,Sydney,Metro,Online Store,New,At risk,Accessories,Paid Social,Mobile,Standard Shipping,Yes,37,39,29,32,64,68,4293.85,4852.68,690.27,724.06,117.64,144.23,3485.93,3984.38,94.21,102.16,2.76%,2.69%,4.95%,4.32%,6.82%,6.54%
2021,NSW,Sydney,Metro,Online Store,Returning,Reactivated,Home & Lifestyle,Paid Search,Mobile,Standard Shipping,No,15,19,11,16,18,24,3965.23,5264.48,496.94,587.51,193.31,283.31,3274.97,4393.67,218.33,231.25,5.58%,5.85%,8.64%,8.36%,53.01%,50.59%
2021,NSW,Sydney,Metro,Shop App,New,High value,Apparel,Email / SMS,Mobile,Standard Shipping,Yes,9,10,6,7,15,18,1883.81,2255.83,305.49,358.98,131.64,239.09,1446.67,1657.75,160.74,165.77,4.75%,5.14%,11.88%,12.71%,10.62%,16.59%
2021,NSW,Sydney,Metro,Online Store,New,Active,Footwear,Paid Search,Mobile,Standard Shipping,No,22,20,18,13,22,20,7654.32,7645.73,1143.51,1041.11,689.5,839.81,5821.31,5764.82,264.61,288.24,2.21%,2.46%,16.04%,15.39%,10.47%,11.79%
2021,NSW,Sydney,Metro,Online Store,New,Active,Accessories,Organic Search,Mobile,Standard Shipping,No,225,222,166,184,393,417,22851.6,23440.16,2104.6,2075.95,937.96,807.79,19809.04,20556.43,88.04,92.6,4.48%,4.48%,6.84%,4.73%,18.09%,22.06%
2022,NSW,Sydney,Metro,Retail POS,New,High value,Apparel,Paid Search,Mobile,Express Shipping,No,94,86,80,77,132,120,16519.91,16774.07,1685.87,1658.85,1170.52,1727.45,13663.52,13387.78,145.36,155.67,2.56%,2.74%,12.77%,13.00%,15.93%,19.55%
2022,NSW,Sydney,Metro,Shop App,New,Active,Footwear,Paid Social,Desktop,Standard Shipping,No,18,20,16,14,18,21,5147.74,6209.59,608.62,750.11,549.82,725.96,3989.3,4733.53,221.63,236.68,2.92%,2.95%,14.43%,14.74%,6.35%,12.14%
2022,NSW,Sydney,Metro,Online Store,New,New customer,Accessories,Organic Search,Mobile,Standard Shipping,Yes,61,66,54,45,105,113,8309.27,9547.2,1204.43,1361.38,307.22,409.25,6797.62,7776.57,111.44,117.83,4.39%,5.05%,6.59%,6.44%,5.71%,4.99%
2022,NSW,Sydney,Metro,Shop App,Returning,New customer,Apparel,Paid Social,Desktop,Standard Shipping,Yes,10,12,8,8,15,18,1949.88,2494.17,273.66,324.41,110.67,149.24,1565.55,2020.52,156.56,168.38,2.53%,2.69%,7.12%,8.30%,57.59%,59.99%
2023,NSW,Sydney,Metro,Online Store,Returning,Active,Beauty & Personal Care,Paid Social,Mobile,Standard Shipping,No,28,33,20,26,62,76,2452.33,3154.98,158.48,209.17,84.7,82.4,2209.14,2863.4,78.9,86.77,2.54%,2.79%,4.65%,3.61%,66.28%,63.47%
2023,NSW,Sydney,Metro,Online Store,New,Active,Footwear,Paid Social,Mobile,Standard Shipping,No,23,24,16,18,28,31,7303.57,8456.85,597.43,652.74,398.86,570.06,6307.29,7234.04,274.23,301.42,3.64%,3.48%,9.67%,8.91%,6.26%,10.25%
2023,NSW,Sydney,Metro,Shop App,New,New customer,Beauty & Personal Care,Paid Social,Desktop,Standard Shipping,No,40,49,33,36,84,104,3072.37,4005.84,261.98,322.51,18.88,39.85,2791.5,3643.48,69.79,74.36,3.36%,3.86%,1.06%,1.28%,18.00%,17.54%
